127.0.0.1, 2015-03-14 02:54:22, GET, /myapp/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001522
127.0.0.1, 2015-03-14 02:54:22, GET, /myapp/static/css/calendar.css, HTTP/1.1, 200, 0.000686
127.0.0.1, 2015-03-14 02:54:22, GET, /myapp/static/js/calendar.js, HTTP/1.1, 200, 0.000718
127.0.0.1, 2015-03-14 02:54:22, GET, /myapp/static/css/web2py.css, HTTP/1.1, 200, 0.001657
127.0.0.1, 2015-03-14 02:54:22, GET, /myapp/static/js/web2py.js, HTTP/1.1, 200, 0.002750
127.0.0.1, 2015-03-14 02:54:22, GET, /myapp/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000390
127.0.0.1, 2015-03-14 02:54:22, GET, /myapp/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.001900
127.0.0.1, 2015-03-14 02:54:22, GET, /myapp/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002090
127.0.0.1, 2015-03-14 02:54:22, GET, /myapp/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001700
127.0.0.1, 2015-03-14 02:54:22, GET, /myapp/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.001601
127.0.0.1, 2015-03-14 02:54:22, GET, /myapp/static/js/share.js, HTTP/1.1, 200, 0.001551
127.0.0.1, 2015-03-14 02:54:23, GET, /myapp/static/images/gplus-32.png, HTTP/1.1, 200, 0.000614
127.0.0.1, 2015-03-14 02:54:23, GET, /myapp/static/images/facebook.png, HTTP/1.1, 200, 0.000715
127.0.0.1, 2015-03-14 02:54:23, GET, /myapp/static/images/twitter.png, HTTP/1.1, 200, 0.001441
127.0.0.1, 2015-03-14 02:54:23, GET, /myapp/static/images/favicon.ico, HTTP/1.1, 200, 0.000283
127.0.0.1, 2015-03-14 02:54:38, GET, /admin/default/site, HTTP/1.1, 200, 0.034510
127.0.0.1, 2015-03-14 02:54:38, GET, /favicon.ico, HTTP/1.1, 400, 0.000206
127.0.0.1, 2015-03-14 02:54:39, GET, /admin/default/null, HTTP/1.1, 404, 0.007586
127.0.0.1, 2015-03-14 02:54:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000146
127.0.0.1, 2015-03-14 02:54:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000189
127.0.0.1, 2015-03-14 02:54:41, GET, /admin/default/design/examples, HTTP/1.1, 200, 0.103054
127.0.0.1, 2015-03-14 02:54:41, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.000354
127.0.0.1, 2015-03-14 02:54:41, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.000488
127.0.0.1, 2015-03-14 02:54:41, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.000756
127.0.0.1, 2015-03-14 02:54:41, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.001428
127.0.0.1, 2015-03-14 02:54:41, GET, /favicon.ico, HTTP/1.1, 400, 0.000207
